# گزارش پیاده‌سازی 74 فرایند | میانگین کل: 90.7%

فرایند                                               کل   اکشن  قانون    فرم  پرتال
------------------------------------------------------------------------------------
class_attendance                                  100.0  100.0  100.0  100.0  100.0
class_session_cancellation                        100.0  100.0  100.0  100.0  100.0
comprehensive_term_end                            100.0  100.0  100.0  100.0  100.0
educational_leave                                 100.0  100.0  100.0  100.0  100.0
extra_session                                     100.0  100.0  100.0  100.0  100.0
fall_semester_preparation                         100.0  100.0  100.0  100.0  100.0
fee_determination                                 100.0  100.0  100.0  100.0  100.0
film_observation_course_completion                100.0  100.0  100.0  100.0  100.0
film_observation_ta_attendance_completion         100.0  100.0  100.0  100.0  100.0
full_education_leave                              100.0  100.0  100.0  100.0  100.0
group_supervision_course_completion               100.0  100.0  100.0  100.0  100.0
intro_second_semester_registration                100.0  100.0  100.0  100.0  100.0
introductory_course_registration                  100.0  100.0  100.0  100.0  100.0
introductory_term_end                             100.0  100.0  100.0  100.0  100.0
lesson_start_per_term                             100.0  100.0  100.0  100.0  100.0
live_supervision_course_completion                100.0  100.0  100.0  100.0  100.0
live_supervision_session_prep                     100.0  100.0  100.0  100.0  100.0
live_supervision_ta_evaluation                    100.0  100.0  100.0  100.0  100.0
live_therapy_observation_course_completion        100.0  100.0  100.0  100.0  100.0
live_therapy_observation_session_prep             100.0  100.0  100.0  100.0  100.0
live_therapy_observation_ta_attendance_completion  100.0  100.0  100.0  100.0  100.0
mentor_private_sessions                           100.0  100.0  100.0  100.0  100.0
process_merged_to_one                             100.0  100.0  100.0  100.0  100.0
return_to_full_education                          100.0  100.0  100.0  100.0  100.0
session_payment                                   100.0  100.0  100.0  100.0  100.0
skills_course_completion                          100.0  100.0  100.0  100.0  100.0
start_therapy                                     100.0  100.0  100.0  100.0  100.0
student_instructor_evaluation                     100.0  100.0  100.0  100.0  100.0
supervision_interruption                          100.0  100.0  100.0  100.0  100.0
supervisor_session_cancellation                   100.0  100.0  100.0  100.0  100.0
ta_instructor_leave                               100.0  100.0  100.0  100.0  100.0
ta_student_consultation                           100.0  100.0  100.0  100.0  100.0
ta_to_assistant_faculty                           100.0  100.0  100.0  100.0  100.0
ta_to_instructor_auto                             100.0  100.0  100.0  100.0  100.0
ta_track_change                                   100.0  100.0  100.0  100.0  100.0
ta_track_completion                               100.0  100.0  100.0  100.0  100.0
theory_course_completion                          100.0  100.0  100.0  100.0  100.0
therapy_changes                                   100.0  100.0  100.0  100.0  100.0
therapy_completion                                100.0  100.0  100.0  100.0  100.0
therapy_session_increase                          100.0  100.0  100.0  100.0  100.0
therapy_session_reduction                         100.0  100.0  100.0  100.0  100.0
winter_semester_preparation                       100.0  100.0  100.0  100.0  100.0
article_writing_completion                         91.7  100.0  100.0   66.7  100.0
comprehensive_term_start                           87.5  100.0  100.0   50.0  100.0
intern_hours_increase                              87.5  100.0  100.0   50.0  100.0
thesis_defense_request                             87.5  100.0  100.0   50.0  100.0
internship_readiness_consultation                  84.4  100.0  100.0   37.5  100.0
internship_12month_conditional_review              83.3  100.0  100.0   33.3  100.0
student_non_registration                           83.3  100.0  100.0   33.3  100.0
upgrade_to_ta                                      83.3  100.0  100.0   33.3  100.0
intern_bulk_patient_referral                       81.3  100.0  100.0   25.0  100.0
upgrade_to_educational_therapist                   81.3  100.0  100.0   25.0  100.0
violation_registration                             81.3  100.0  100.0   25.0  100.0
comprehensive_course_registration                  78.1  100.0  100.0   12.5  100.0
attendance_tracking                                75.0  100.0  100.0    0.0  100.0
committees_review                                  75.0  100.0  100.0    0.0  100.0
extra_supervision_session                          75.0  100.0  100.0    0.0  100.0
introductory_course_completion                     75.0  100.0  100.0    0.0  100.0
patient_referral                                   75.0  100.0  100.0    0.0  100.0
specialized_commission_review                      75.0  100.0  100.0    0.0  100.0
student_session_cancellation                       75.0  100.0  100.0    0.0  100.0
student_supervision_cancellation                   75.0  100.0  100.0    0.0  100.0
supervision_50h_completion                         75.0  100.0  100.0    0.0  100.0
supervision_block_transition                       75.0  100.0  100.0    0.0  100.0
supervision_session_increase                       75.0  100.0  100.0    0.0  100.0
supervision_session_reduction                      75.0  100.0  100.0    0.0  100.0
ta_blog_content                                    75.0  100.0  100.0    0.0  100.0
ta_conceptual_questions                            75.0  100.0  100.0    0.0  100.0
ta_essay_upload                                    75.0  100.0  100.0    0.0  100.0
therapist_session_cancellation                     75.0  100.0  100.0    0.0  100.0
therapy_early_termination                          75.0  100.0  100.0    0.0  100.0
therapy_interruption                               75.0  100.0  100.0    0.0  100.0
unannounced_absence_reaction                       75.0  100.0  100.0    0.0  100.0
unannounced_supervision_absence_reaction           75.0  100.0  100.0    0.0  100.0
